d18o,sss,lat,lon,depth,ref,temp,region,type,
-0.4,33.48,78.18,20.27,6,CDOHC ID:58AA20000923,2.11,Svalbard,primary,
-0.39,33.38,77.07,26.5,5,CDOHC ID:58AA20000923,-0.09,Svalbard,primary,
-0.35,33.3,76.79,17.19,8,CDOHC ID:58AA20000923,1.58,Svalbard,primary,
-0.34,33.69,76.35,16.93,9,CDOHC ID:58AA20000923,2.86,Svalbard,primary,
-0.26,33.82,76.84,25.11,6,CDOHC ID:58AA20000923,2.1,Svalbard,primary,
-0.25,34.23,77.45,20.04,7,CDOHC ID:58AA20000923,3.3,Svalbard,primary,
-0.24,33.35,77.83,18.5,6,CDOHC ID:58AA20000923,1.36,Svalbard,primary,
-0.23,33.3,78.01,18.82,7,CDOHC ID:58AA20000923,1.31,Svalbard,primary,
-0.23,33.39,77.26,18,6,CDOHC ID:58AA20000923,1.61,Svalbard,primary,
-0.22,33.33,78.01,19.11,6,CDOHC ID:58AA20000923,1.28,Svalbard,primary,
-0.22,33.63,78.58,25.91,6,CDOHC ID:58AA20000923,-0.64,Svalbard,primary,
-0.21,33.58,77.51,18.69,5,CDOHC ID:58AA20000923,1.73,Svalbard,primary,
-0.19,33.25,78.28,19.15,7,CDOHC ID:58AA20000923,1.19,Svalbard,primary,
-0.19,33.33,76.79,17.19,21,CDOHC ID:58AA20000923,1.6,Svalbard,primary,
-0.19,33.33,77.88,18.43,5,CDOHC ID:58AA20000923,1.36,Svalbard,primary,
-0.19,33.39,77.26,18.5,5,CDOHC ID:58AA20000923,1.56,Svalbard,primary,
-0.17,33.26,77.38,26.5,8,CDOHC ID:58AA20000923,-0.09,Svalbard,primary,
-0.17,33.84,77.16,21.2,7,CDOHC ID:58AA20000923,1.8,Svalbard,primary,
-0.16,33.4,76.47,17.08,18,CDOHC ID:58AA20000923,1.84,Svalbard,primary,
-0.16,33.4,77.26,18,4,CDOHC ID:58AA20000923,1.62,Svalbard,primary,
-0.16,33.61,78.3,26.5,5,CDOHC ID:58AA20000923,-0.35,Svalbard,primary,
-0.15,33.68,78.52,25.33,6,CDOHC ID:58AA20000923,-0.6,Svalbard,primary,
-0.14,33.28,78.08,19.2,4,CDOHC ID:58AA20000923,1.69,Svalbard,primary,
-0.14,33.3,77.98,18.58,5,CDOHC ID:58AA20000923,1.37,Svalbard,primary,
-0.14,33.36,78.92,22.36,5,CDOHC ID:58AA20000923,-0.84,Svalbard,primary,
-0.14,33.39,78.42,22.93,22,CDOHC ID:58AA20000923,-0.1,Svalbard,primary,
-0.14,33.64,77.16,23.31,7,CDOHC ID:58AA20000923,0.83,Svalbard,primary,
-0.14,34.1,77.75,20.08,6,CDOHC ID:58AA20000923,2.32,Svalbard,primary,
-0.13,33.05,79,22.73,6,CDOHC ID:58AA20000923,-1.53,Svalbard,primary,
-0.13,33.17,77.68,26.5,8,CDOHC ID:58AA20000923,-0.08,Svalbard,primary,
-0.13,33.19,77.53,18.37,6,CDOHC ID:58AA20000923,1.66,Svalbard,primary,
-0.13,33.35,77.5,19.08,6,CDOHC ID:58AA20000923,1.43,Svalbard,primary,
-0.13,33.45,77.26,18,14,CDOHC ID:58AA20000923,1.7,Svalbard,primary,
-0.13,33.49,76.76,26.5,21,CDOHC ID:58AA20000923,0.13,Svalbard,primary,
-0.13,33.57,77.73,20.58,6,CDOHC ID:58AA20000923,1.53,Svalbard,primary,
-0.13,33.59,76.64,17.58,7,CDOHC ID:58AA20000923,2.06,Svalbard,primary,
-0.13,33.61,77.07,21.07,4,CDOHC ID:58AA20000923,0.96,Svalbard,primary,
-0.12,33.29,77.67,18.92,8,CDOHC ID:58AA20000923,1.76,Svalbard,primary,
-0.12,33.46,78.28,19.9,5,CDOHC ID:58AA20000923,2.04,Svalbard,primary,
-0.11,33.55,77.26,18,19,CDOHC ID:58AA20000923,1.86,Svalbard,primary,
-0.11,33.59,79.59,29.54,22,CDOHC ID:58AA20000923,-1.11,Svalbard,primary,
-0.11,33.65,78.65,26.5,5,CDOHC ID:58AA20000923,-0.49,Svalbard,primary,
-0.11,33.97,76.96,19.29,3,CDOHC ID:58AA20000923,2.7,Svalbard,primary,
-0.1,33.33,78.01,19,6,CDOHC ID:58AA20000923,1.69,Svalbard,primary,
-0.1,33.45,76.76,26.5,5,CDOHC ID:58AA20000923,0.23,Svalbard,primary,
-0.1,33.54,77.72,20.93,5,CDOHC ID:58AA20000923,1.6,Svalbard,primary,
-0.1,33.58,77.26,18,5,CDOHC ID:58AA20000923,2.01,Svalbard,primary,
-0.1,33.61,78.3,26.5,23,CDOHC ID:58AA20000923,-0.36,Svalbard,primary,
-0.1,33.76,77.16,23.31,22,CDOHC ID:58AA20000923,1.58,Svalbard,primary,
-0.1,33.8,77.78,19.58,11,CDOHC ID:58AA20000923,2,Svalbard,primary,
-0.1,34.07,76.64,18.58,8,CDOHC ID:58AA20000923,2.58,Svalbard,primary,
-0.09,33.58,79.59,29.54,7,CDOHC ID:58AA20000923,-1.09,Svalbard,primary,
-0.09,33.9,76.64,20.59,7,CDOHC ID:58AA20000923,1.64,Svalbard,primary,
-0.09,34.05,77.26,19.5,6,CDOHC ID:58AA20000923,2.7,Svalbard,primary,
-0.08,33.3,78.45,24.74,11,CDOHC ID:58AA20000923,-1.07,Svalbard,primary,
-0.08,33.36,78.01,18.82,22,CDOHC ID:58AA20000923,1.47,Svalbard,primary,
-0.08,33.42,78.32,23.56,5,CDOHC ID:58AA20000923,-0.58,Svalbard,primary,
-0.08,33.6,77.8,19.08,6,CDOHC ID:58AA20000923,1.78,Svalbard,primary,
-0.08,33.65,77.73,20.58,17,CDOHC ID:58AA20000923,1.64,Svalbard,primary,
-0.08,34.21,77.02,20.36,6,CDOHC ID:58AA20000923,2.74,Svalbard,primary,
-0.08,34.22,76.67,22.8,6,CDOHC ID:58AA20000923,2.95,Svalbard,primary,
-0.08,34.28,76.64,19.54,7,CDOHC ID:58AA20000923,3.77,Svalbard,primary,
-0.08,34.36,76.83,20.09,7,CDOHC ID:58AA20000923,3.01,Svalbard,primary,
-0.07,33.14,78.61,22.71,7,CDOHC ID:58AA20000923,-1.11,Svalbard,primary,
-0.07,33.37,78.42,22.93,7,CDOHC ID:58AA20000923,-0.09,Svalbard,primary,
-0.07,33.42,76.41,16.71,7,CDOHC ID:58AA20000923,2.1,Svalbard,primary,
-0.07,33.58,77.43,20.68,9,CDOHC ID:58AA20000923,1.3,Svalbard,primary,
-0.07,33.63,78.58,25.91,10,CDOHC ID:58AA20000923,-0.64,Svalbard,primary,
-0.07,34.03,77.2,19.3,7,CDOHC ID:58AA20000923,2.6,Svalbard,primary,
-0.06,33.06,79.69,27.14,6,CDOHC ID:58AA20000923,-0.86,Svalbard,primary,
-0.06,33.23,76.82,17.33,6,CDOHC ID:58AA20000923,1.52,Svalbard,primary,
-0.06,33.3,77.4,18.42,6,CDOHC ID:58AA20000923,1.71,Svalbard,primary,
-0.06,33.34,77.68,26.5,22,CDOHC ID:58AA20000923,-0.13,Svalbard,primary,
-0.06,33.48,77.53,18.37,19,CDOHC ID:58AA20000923,1.81,Svalbard,primary,
-0.05,33.59,77.82,18.73,7,CDOHC ID:58AA20000923,2.17,Svalbard,primary,
-0.05,33.78,76.64,18.96,7,CDOHC ID:58AA20000923,2.65,Svalbard,primary,
-0.05,34.2,77.75,20.08,15,CDOHC ID:58AA20000923,2.94,Svalbard,primary,
-0.04,33.25,78.45,24.74,5,CDOHC ID:58AA20000923,-1.15,Svalbard,primary,
-0.04,33.33,78.13,20.5,5,CDOHC ID:58AA20000923,2,Svalbard,primary,
-0.04,33.33,78.37,22.56,7,CDOHC ID:58AA20000923,0.05,Svalbard,primary,
-0.04,33.42,77.82,18.72,5,CDOHC ID:58AA20000923,1.44,Svalbard,primary,
-0.04,33.52,78.78,21.61,25,CDOHC ID:58AA20000923,-0.59,Svalbard,primary,
-0.04,33.73,76.72,20.88,16,CDOHC ID:58AA20000923,1.38,Svalbard,primary,
-0.04,33.77,77.47,19.55,6,CDOHC ID:58AA20000923,2.01,Svalbard,primary,
-0.04,33.8,77.04,20.69,4,CDOHC ID:58AA20000923,1.42,Svalbard,primary,
-0.04,33.96,76.93,18.65,8,CDOHC ID:58AA20000923,2.47,Svalbard,primary,
-0.04,34,76.64,18.08,8,CDOHC ID:58AA20000923,2.84,Svalbard,primary,
-0.04,34.06,77.45,20.04,6,CDOHC ID:58AA20000923,2.74,Svalbard,primary,
-0.03,33.45,78.43,23.23,7,CDOHC ID:58AA20000923,-0.32,Svalbard,primary,
-0.03,33.48,78.92,22.36,21,CDOHC ID:58AA20000923,-0.63,Svalbard,primary,
-0.03,33.51,78.22,20.01,5,CDOHC ID:58AA20000923,2.1,Svalbard,primary,
-0.03,33.67,77.44,20.36,6,CDOHC ID:58AA20000923,2.08,Svalbard,primary,
-0.03,33.8,77.5,19.07,6,CDOHC ID:58AA20000923,2.48,Svalbard,primary,
-0.03,34.02,76.64,21.59,5,CDOHC ID:58AA20000923,2.2,Svalbard,primary,
-0.02,33.66,77.78,19.58,4,CDOHC ID:58AA20000923,1.67,Svalbard,primary,
-0.02,33.7,76.56,18.84,7,CDOHC ID:58AA20000923,2.56,Svalbard,primary,
-0.02,33.97,77.5,19.08,24,CDOHC ID:58AA20000923,2.35,Svalbard,primary,
-0.02,33.99,77.26,21,6,CDOHC ID:58AA20000923,2.21,Svalbard,primary,
-0.02,34.22,76.34,19.66,6,CDOHC ID:58AA20000923,3.84,Svalbard,primary,
-0.01,33.62,77.43,20.68,6,CDOHC ID:58AA20000923,1.34,Svalbard,primary,
-0.01,33.74,76.56,18.84,20,CDOHC ID:58AA20000923,2.59,Svalbard,primary,
-0.01,34.34,76.64,19.15,21,CDOHC ID:58AA20000923,3.43,Svalbard,primary,
0,33.17,78.69,22.46,6,CDOHC ID:58AA20000923,-1.12,Svalbard,primary,
0,33.29,79.03,24.54,21,CDOHC ID:58AA20000923,-1,Svalbard,primary,
0,33.39,78.52,22.98,8,CDOHC ID:58AA20000923,-0.35,Svalbard,primary,
0,33.58,77.34,21.14,6,CDOHC ID:58AA20000923,1.74,Svalbard,primary,
0,33.65,78.01,20.5,2,CDOHC ID:58AA20000923,2.28,Svalbard,primary,
0,33.84,77.26,21,6,CDOHC ID:58AA20000923,1.63,Svalbard,primary,
0,33.85,77.44,20.36,6,CDOHC ID:58AA20000923,1.58,Svalbard,primary,
0,34.02,77.16,20.69,6,CDOHC ID:58AA20000923,2.19,Svalbard,primary,
0,34.19,76.64,19.05,4,CDOHC ID:58AA20000923,2.83,Svalbard,primary,
0.01,33.61,78.01,20,8,CDOHC ID:58AA20000923,2.17,Svalbard,primary,
0.01,33.65,76.72,20.88,5,CDOHC ID:58AA20000923,1.03,Svalbard,primary,
0.01,33.94,76.83,18.58,7,CDOHC ID:58AA20000923,2.47,Svalbard,primary,
0.02,33.35,78.01,19.11,22,CDOHC ID:58AA20000923,1.27,Svalbard,primary,
0.02,33.44,78.43,23.23,24,CDOHC ID:58AA20000923,-0.33,Svalbard,primary,
0.02,33.58,78.98,25.07,22,CDOHC ID:58AA20000923,-0.53,Svalbard,primary,
0.02,33.61,77.95,20.5,6,CDOHC ID:58AA20000923,2.18,Svalbard,primary,
0.02,34.01,76.45,19.01,8,CDOHC ID:58AA20000923,3.27,Svalbard,primary,
0.02,34.25,76.64,19.15,6,CDOHC ID:58AA20000923,3.25,Svalbard,primary,
0.03,33.38,81.14,19.9,10,Bauch et al (1995),1.35,Svalbard,primary,
0.03,33.49,77.51,18.69,6,CDOHC ID:58AA20000923,2,Svalbard,primary,
0.03,33.81,76.76,21.23,6,CDOHC ID:58AA20000923,1.61,Svalbard,primary,
0.04,33.26,79.62,28.88,7,CDOHC ID:58AA20000923,-1.19,Svalbard,primary,
0.04,33.32,79.09,24.01,5,CDOHC ID:58AA20000923,-0.94,Svalbard,primary,
0.04,33.46,78.28,19.71,8,CDOHC ID:58AA20000923,1.97,Svalbard,primary,
0.04,33.48,78.92,25.61,7,CDOHC ID:58AA20000923,-0.78,Svalbard,primary,
0.04,33.67,79.62,28.88,22,CDOHC ID:58AA20000923,-0.9,Svalbard,primary,
0.04,34.04,77.2,19.3,4,CDOHC ID:58AA20000923,2.88,Svalbard,primary,
0.04,34.06,77.63,20.08,7,CDOHC ID:58AA20000923,2.83,Svalbard,primary,
0.05,33.492,78.58,24.9,6,CHARCOT,,Svalbard,primary,
0.05,33.52,78.01,19.5,7,CDOHC ID:58AA20000923,2.09,Svalbard,primary,
0.05,33.63,77.78,19.58,6,CDOHC ID:58AA20000923,1.94,Svalbard,primary,
0.05,33.67,77.99,26.5,7,CDOHC ID:58AA20000923,-0.36,Svalbard,primary,
0.05,33.96,77.51,18.69,20,CDOHC ID:58AA20000923,3.03,Svalbard,primary,
0.05,34,77.26,20,5,CDOHC ID:58AA20000923,2.81,Svalbard,primary,
0.05,34.13,76.24,19.36,5,CDOHC ID:58AA20000923,3.22,Svalbard,primary,
0.06,33.77,76.89,18.04,6,CDOHC ID:58AA20000923,2.19,Svalbard,primary,
0.06,33.84,77.47,19.55,5,CDOHC ID:58AA20000923,2.5,Svalbard,primary,
0.06,34.27,76.64,19.54,7,CDOHC ID:58AA20000923,3.21,Svalbard,primary,
0.07,33.25,79.03,24.54,6,CDOHC ID:58AA20000923,-1.11,Svalbard,primary,
0.07,33.62,77.83,20.69,8,CDOHC ID:58AA20000923,2.11,Svalbard,primary,
0.07,33.73,77.26,18.5,8,CDOHC ID:58AA20000923,2.37,Svalbard,primary,
0.07,33.99,76.35,15.85,20,VEINS (Meredith et al 20,0.73,Svalbard,primary,
0.07,34.04,76.64,19.14,7,CDOHC ID:58AA20000923,3.15,Svalbard,primary,
0.07,34.83,75.97,15.35,4,VEINS (Meredith et al 20,5.39,Svalbard,primary,
0.08,33.58,78.92,25.61,22,CDOHC ID:58AA20000923,-0.63,Svalbard,primary,
0.08,33.84,77.43,20.68,7,CDOHC ID:58AA20000923,2.44,Svalbard,primary,
0.09,33.8,77.5,19.07,6,CDOHC ID:58AA20000923,2.64,Svalbard,primary,
0.09,34.02,77.78,19.58,24,CDOHC ID:58AA20000923,2.5,Svalbard,primary,
0.09,34.11,76.33,15.83,19,VEINS (Meredith et al 20,-0.17,Svalbard,primary,
0.09,34.16,76.68,20.42,6,CDOHC ID:58AA20000923,2.79,Svalbard,primary,
0.09,34.16,77.26,20.5,6,CDOHC ID:58AA20000923,2.41,Svalbard,primary,
0.09,34.23,76.05,19.68,7,CDOHC ID:58AA20000923,3.7,Svalbard,primary,
0.09,34.54,75.87,20.23,7,CDOHC ID:58AA20000923,3.68,Svalbard,primary,
0.1,33.27,79.62,28.88,22,CDOHC ID:58AA20000923,-1.15,Svalbard,primary,
0.1,34.21,76.64,19.34,6,CDOHC ID:58AA20000923,2.98,Svalbard,primary,
0.11,33.17,79.67,27.56,5,CDOHC ID:58AA20000923,-0.99,Svalbard,primary,
0.11,34.79,75.78,15.3,10,VEINS (Meredith et al 20,5.46,Svalbard,primary,
0.12,33.33,78.37,22.56,17,CDOHC ID:58AA20000923,0.04,Svalbard,primary,
0.12,33.78,76.33,15.83,10,VEINS (Meredith et al 20,3.26,Svalbard,primary,
0.12,33.86,76.28,15.77,9,VEINS (Meredith et al 20,2.88,Svalbard,primary,
0.12,34.37,76.35,15.83,10,VEINS (Meredith et al 20,3.25,Svalbard,primary,
0.12,34.48,75.97,15.35,10,VEINS (Meredith et al 20,6.44,Svalbard,primary,
0.12,34.7,75.85,18.86,7,CDOHC ID:58AA20000923,4.44,Svalbard,primary,
0.13,33.75,77.88,20.13,6,CDOHC ID:58AA20000923,2.28,Svalbard,primary,
0.13,34.02,77.32,19.25,8,CDOHC ID:58AA20000923,2.83,Svalbard,primary,
0.13,34.23,76.34,19.66,6,CDOHC ID:58AA20000923,3.75,Svalbard,primary,
0.13,34.39,76.25,15.67,10,VEINS (Meredith et al 20,3.5,Svalbard,primary,
0.14,34.31,76.64,19.93,5,CDOHC ID:58AA20000923,3.45,Svalbard,primary,
0.15,33.34,79.09,24.01,19,CDOHC ID:58AA20000923,-0.92,Svalbard,primary,
0.15,33.97,76.28,15.77,20,VEINS (Meredith et al 20,0.85,Svalbard,primary,
0.15,34.3,76.28,15.73,10,VEINS (Meredith et al 20,2.53,Svalbard,primary,
0.15,34.5,76.67,23.75,5,CDOHC ID:58AA20000923,3.59,Svalbard,primary,
0.15,34.78,75.78,15.3,4,VEINS (Meredith et al 20,5.46,Svalbard,primary,
0.15,34.84,75.97,15.35,10,VEINS (Meredith et al 20,5.39,Svalbard,primary,
0.16,34.23,76.39,19.1,8,CDOHC ID:58AA20000923,3.63,Svalbard,primary,
0.16,34.41,75.96,19.83,7,CDOHC ID:58AA20000923,3.9,Svalbard,primary,
0.17,34.39,76.45,19.01,23,CDOHC ID:58AA20000923,4,Svalbard,primary,
0.18,33.98,76.27,15.7,9,VEINS (Meredith et al 20,3.31,Svalbard,primary,
0.18,34.16,76.64,19.74,7,CDOHC ID:58AA20000923,3.35,Svalbard,primary,
0.18,34.44,76.17,15.48,10,VEINS (Meredith et al 20,6.28,Svalbard,primary,
0.19,34.6,75.8,15.3,8,VEINS (Meredith et al 20,6.73,Svalbard,primary,
0.2,33.71,76.35,15.85,10,VEINS (Meredith et al 20,1.61,Svalbard,primary,
0.2,34.45,76.17,15.48,19,VEINS (Meredith et al 20,6.24,Svalbard,primary,
0.22,34.52,76.13,15.4,10,VEINS (Meredith et al 20,6.13,Svalbard,primary,
0.23,34.11,76.27,15.7,19,VEINS (Meredith et al 20,2.73,Svalbard,primary,
0.23,34.76,76.03,15.37,10,VEINS (Meredith et al 20,7.07,Svalbard,primary,
0.23,34.84,76.03,15.37,10,VEINS (Meredith et al 20,5.6,Svalbard,primary,
0.24,34.66,75.88,15.32,20,VEINS (Meredith et al 20,6.79,Svalbard,primary,
0.25,34.58,75.88,15.32,9,VEINS (Meredith et al 20,6.72,Svalbard,primary,
0.25,34.83,75.87,15.32,16,VEINS (Meredith et al 20,5.49,Svalbard,primary,
0.29,34.6,75.8,15.3,19,VEINS (Meredith et al 20,6.75,Svalbard,primary,
0.31,34.79,76.03,15.37,20,VEINS (Meredith et al 20,7.08,Svalbard,primary,
0.32,34.78,76.17,15.47,24,VEINS (Meredith et al 20,5.28,Svalbard,primary,
0.36,34.42,76.22,15.5,19,VEINS (Meredith et al 20,6.37,Svalbard,primary,
0.37,34.41,76.22,15.5,9,VEINS (Meredith et al 20,6.38,Svalbard,primary,
-0.74,33.13,39.93,145.42,0,Oba (1988),20.5,Sea of Okhotsk,primary,
-0.85,32.47,42,144.02,10,M. Itou (pers. comm.),9.26,Sea of Okhotsk,primary,
-0.51,33.08,39.97,144.07,10,M. Itou (pers. comm.),19.15,Sea of Okhotsk,primary,
-0.82,32.38,46.85,151.27,0,Yamamoto et al (2001),11,Sea of Okhotsk,primary,
-0.86,32.43,46.85,151.27,9,Yamamoto et al (2001),10.44,Sea of Okhotsk,primary,
-0.8,32.5,46.85,151.27,21,Yamamoto et al (2001),8.42,Sea of Okhotsk,primary,
-0.87,32.22,47.5,150.5,0,Yamamoto et al (2001),13.8,Sea of Okhotsk,primary,
-0.92,32.22,47.5,150.5,10,Yamamoto et al (2001),13.48,Sea of Okhotsk,primary,
-0.87,32.16,47.5,150.5,19,Yamamoto et al (2001),12.75,Sea of Okhotsk,primary,
-0.83,32.31,48,150,0,Yamamoto et al (2001),13.7,Sea of Okhotsk,primary,
-0.83,32.4,48,150,20,Yamamoto et al (2001),11.63,Sea of Okhotsk,primary,
-0.87,32.3,47.17,148.31,0,Yamamoto et al (2001),12.9,Sea of Okhotsk,primary,
-0.88,32.29,47.17,148.31,10,Yamamoto et al (2001),12.73,Sea of Okhotsk,primary,
-0.85,32.37,47.17,148.31,19,Yamamoto et al (2001),11.43,Sea of Okhotsk,primary,
-0.85,32.42,49.12,152.25,0,Yamamoto et al (2001),11.4,Sea of Okhotsk,primary,
-0.83,32.42,49.12,152.25,10,Yamamoto et al (2001),11.26,Sea of Okhotsk,primary,
-0.83,32.53,49.12,152.25,20,Yamamoto et al (2001),10.6,Sea of Okhotsk,primary,
-0.73,32.74,47,151.28,0,Yamamoto et al (2001),7.4,Sea of Okhotsk,primary,
-0.73,32.7,47,151.28,10,Yamamoto et al (2001),7.19,Sea of Okhotsk,primary,
-0.69,32.8,47,151.28,19,Yamamoto et al (2001),6.15,Sea of Okhotsk,primary,
-0.77,32.59,49,148.31,11,Yamamoto et al (2001),7.28,Sea of Okhotsk,primary,
-0.78,32.59,49,148.31,20,Yamamoto et al (2001),7.28,Sea of Okhotsk,primary,
-0.95,32.37,49,146,0,Yamamoto et al (2001),6.4,Sea of Okhotsk,primary,
-0.97,32.35,49,146,10,Yamamoto et al (2001),6.39,Sea of Okhotsk,primary,
-0.94,32.35,49,146,20,Yamamoto et al (2001),6.39,Sea of Okhotsk,primary,
-0.78,32.63,51.99,152.92,0,Yamamoto et al (2001),7,Sea of Okhotsk,primary,
-0.79,32.61,51.99,152.92,10,Yamamoto et al (2001),7.03,Sea of Okhotsk,primary,
-0.79,32.61,51.99,152.92,21,Yamamoto et al (2001),7.03,Sea of Okhotsk,primary,
-0.92,32.26,52,148.07,0,Yamamoto et al (2001),6.8,Sea of Okhotsk,primary,
-0.9,32.24,52,148.07,10,Yamamoto et al (2001),6.85,Sea of Okhotsk,primary,
-0.92,32.24,52,148.07,19,Yamamoto et al (2001),6.86,Sea of Okhotsk,primary,
-0.19,33.49,44.67,145.83,0,Yamamoto et al (2001),16.8,Sea of Okhotsk,primary,
-0.17,33.49,44.67,145.83,9,Yamamoto et al (2001),16.57,Sea of Okhotsk,primary,
-0.04,33.8,44.67,145.83,18,Yamamoto et al (2001),12.84,Sea of Okhotsk,primary,
-0.86,32.2,45.5,145,0,Yamamoto et al (2001),15.1,Sea of Okhotsk,primary,
-0.86,32.2,45.5,145,9,Yamamoto et al (2001),14.89,Sea of Okhotsk,primary,
-0.49,33.16,45.5,145,20,Yamamoto et al (2001),8.36,Sea of Okhotsk,primary,
-0.5,33.06,47,144.78,0,Yamamoto et al (2001),**,Sea of Okhotsk,primary,
-0.54,33,47,144.78,10,Yamamoto et al (2001),10.4,Sea of Okhotsk,primary,
-0.51,33,47,144.78,19,Yamamoto et al (2001),10.4,Sea of Okhotsk,primary,
-0.86,32.27,42.5,145,0,Yamamoto et al (2001),16.3,Sea of Okhotsk,primary,
-0.74,32.75,42.5,145,19,Yamamoto et al (2001),6.85,Sea of Okhotsk,primary,
-0.83,32.29,41.5,145.5,0,Yamamoto et al (2001),18.9,Sea of Okhotsk,primary,
-0.86,32.3,41.5,145.5,10,Yamamoto et al (2001),17.67,Sea of Okhotsk,primary,
-0.74,32.71,41.5,145.5,19,Yamamoto et al (2001),10.22,Sea of Okhotsk,primary,
-0.82,32.37,43.47,147.03,0,Yamamoto et al (2001),12.8,Sea of Okhotsk,primary,
-0.83,32.4,43.47,147.03,10,Yamamoto et al (2001),11.03,Sea of Okhotsk,primary,
-0.7,32.8,43.47,147.03,19,Yamamoto et al (2001),5.53,Sea of Okhotsk,primary,
-0.59,32.76,44.75,148.25,0,Yamamoto et al (2001),11.5,Sea of Okhotsk,primary,
-0.66,32.72,44.75,148.25,10,Yamamoto et al (2001),10.41,Sea of Okhotsk,primary,
-0.6,32.75,44.75,148.25,20,Yamamoto et al (2001),10.44,Sea of Okhotsk,primary,
-0.87,32.4,45.5,150,0,Yamamoto et al (2001),12.4,Sea of Okhotsk,primary,
-0.8,32.45,45.5,150,10,Yamamoto et al (2001),10.57,Sea of Okhotsk,primary,
-0.77,32.42,45.5,150,20,Yamamoto et al (2001),6.92,Sea of Okhotsk,primary,
-0.9,32.28,43.62,151.87,0,Yamamoto et al (2001),13.1,Sea of Okhotsk,primary,
-0.85,32.31,43.62,151.87,9,Yamamoto et al (2001),11.52,Sea of Okhotsk,primary,
-0.75,32.65,43.62,151.87,20,Yamamoto et al (2001),7.42,Sea of Okhotsk,primary,
-0.84,32.44,46.33,154.83,0,Yamamoto et al (2001),13.9,Sea of Okhotsk,primary,
-0.83,32.41,46.33,154.83,10,Yamamoto et al (2001),12.23,Sea of Okhotsk,primary,
-0.86,32.39,46.33,154.83,20,Yamamoto et al (2001),11.68,Sea of Okhotsk,primary,
-0.89,32.46,46,155.5,0,Yamamoto et al (2001),14.4,Sea of Okhotsk,primary,
-0.86,32.41,46,155.5,11,Yamamoto et al (2001),12.9,Sea of Okhotsk,primary,
-0.85,32.5,46,155.5,19,Yamamoto et al (2001),12.68,Sea of Okhotsk,primary,
-0.85,32.54,48.79,156.92,9,Yamamoto et al (2001),12.39,Sea of Okhotsk,primary,
-0.84,32.56,48.79,156.92,19,Yamamoto et al (2001),12.02,Sea of Okhotsk,primary,
-0.86,32.45,47.58,155.33,19,Yamamoto et al (2001),11.92,Sea of Okhotsk,primary,
-0.88,32.41,49.12,156.25,0,Yamamoto et al (2001),11.5,Sea of Okhotsk,primary,
-0.77,32.56,49.12,156.25,24,Yamamoto et al (2001),7.96,Sea of Okhotsk,primary,
-0.73,32.8,46.04,152.3,0,Yamamoto et al (2002),8.63,Sea of Okhotsk,primary,
-0.71,32.81,46.04,152.3,9,Yamamoto et al (2002),8.49,Sea of Okhotsk,primary,
